9c:3d:cf:ff:37:ea 192.168.1.131 RBR50
28:d2:44:e5:6b:90 192.168.1.128 kali
00:08:22:30:19:07 192.168.1.232 android-5059dc8c33464675
60:e3:27:0b:30:bb 192.168.1.134 user-All-Series
38:2c:4a:6f:bb:72 192.168.1.130 user-All-Series
50:2b:73:58:0c:e7 192.168.1.207 NOVA-502b73580ce0
ec:55:f9:2d:88:cc 192.168.1.177 DESKTOP-57F01C1
60:e3:27:0a:82:45 192.168.1.179 user-To-be-filled-by-O-E-M
00:25:86:f1:36:88 192.168.1.232 pc2
90:32:4b:1c:c2:61 192.168.1.238 DESKTOP-5MI75HA
cc:9f:7a:da:e1:7e 192.168.1.222
10:8e:e0:ed:19:a6 192.168.1.206 Cista-Mabila
4c:d1:a1:36:19:3c 192.168.1.215 Honor_10_Lite-da358e17311
